Course Name,City,Country,Year Played,Holes,Personal Rating,Best Score
Greenacres,Richmond,Canada,1982,18,4,75
Newlands,Langley,Canada,1973,18,4,79
Delta GC,Delta,Canada,1993,18,4,71
Meadow Gardens GC,Pitt Meadows,Canada,1984,18,5,71
Pajaro Valley Golf Course,Watsonville,United States of America,2013,18,5,75
Grantown on Spey GC,Grantown,United Kingdom,1972,18,5,79
Yellowknife GC,Yellowknife,Canada,2018,18,5,
Cultus Lake GC,Cultus Lake,Canada,2007,18,5,64
Sunnydale GC,Comox,Canada,2003,18,5,74
Mission Creek GC,Kelowna,Canada,1988,18,5,59
Pineridge GC,Kamloops,Canada,1993,18,5,60
Coyote Creek GC,Surrey,Canada,1993,18,5,60
Discovery Harbor GC,Hawaii,United States of America,1996,18,5,80
Tall chief GC ,Fall City,United States of America,1989,18,5,67
Michaelbrook Ranch,Kelowna,Canada,1989,18,5,56
Langara golf course,Vancouver,Canada,1967,18,5,70
Fraserview golf course,Vancouver,Canada,1967,18,5,69
Wimbledon Common GC,London,United Kingdom,1972,18,5,
The Fort GC,Fort Langley,Canada,1983,18,5,74
Guildford golf course,Surrey,Canada,1982,18,5,69
