course_name,city,state,country,latitude,longitude,year,length,personal_rating,times_played,best_score
Grant Lucayan Golf Club -- Reef Course,Freeport,,Bahamas,26.511,-78.652259,1993,18,7.5,1,83
Bahamas Princess -- Ruby,,,Bahamas,26.523,-78.708,1993,18,8,1,80
Bahamas Princess -- Emerald,Freeport,,Bahamas,26.512,-78.701,1993,18,7,1,79
South Ocean Beach GC,New Providence,,Bahamas,25.009,-77.523,1993,18,7.5,1,76
Mid Ocean GC,,,Bermuda,32.331,-64.694,1989,18,9.5,1,74
Port Royal GC,,,Bermuda,32.261,-64.874,1989,18,8,1,76
Castle Harbour GC  ,,,Bermuda,32.346,-64.673,1989,18,7.5,1,73
Southampton Princess GC,,,Bermuda,32.261,-64.845,1989,18,7.5,1,59
Belmont GC,,,Bermuda,32.31,-64.788,1989,18,7,1,68
Riddell's Bay GC,,,Bermuda,32.26,-64.864,1989,18,7,1,71
Ocean view GC,,,Bermuda,32.317,-64.717,1989,9,5,1,40
Canoe creek,Salmon Arm,BC,Canada,50.736,-120.267,2015,18,7.5,1,80
Salmon Arm GC,Salmon Arm,BC,Canada,50.706,-119.255,2015,18,7.5,1,72
Long Beach GC,Tofino,BC,Canada,49.149,-125.911,2016,9,6,1,34
Capilano Golf and Country Club,West Vancouver,BC,Canada,49.354,-123.125,1965,18,10,3000,65
Northlands Golf Course,North Vancouver,BC,Canada,49.321,-122.979,2006,18,7,10,71
Shaughnessy Golf and Country Club,Vancouver,BC,Canada,49.234,-123.208,1975,18,8.5,25,75
Gleneagles Golf Course,West Vancouver,BC,Canada,49.364,-123.279,1962,9,2,50,75
Seymour Golf and Country Club,North Vancouver,BC,Canada,49.316,-122.968,1965,18,7,30,70
Fraserview golf course,Vancouver,BC,Canada,49.214,-123.052,1967,18,5,20,69
Langara golf course,Vancouver,BC,Canada,49.222,-123.112,1967,18,5,15,70
University golf club,Vancouver,BC,Canada,49.264,-123.229,1964,18,6,20,67
McCleery golf club,Vancouver,BC,Canada,49.218,-123.165,1968,18,6,20,72
Marine Drive Golf Club,Vancouver,BC,Canada,49.218,-123.159,1985,18,8,15,67
Point Grey Golf Club,Vancouver,BC,Canada,49.224,-123.184,1986,18,8,12,72
Vancouver Golf Club,Vancouver,BC,Canada,49.249,-122.877,1974,18,8,15,74
Burnaby Mountain golf course,Burnaby,BC,Canada,49.266,-122.944,1986,18,6,15,71
Peace Portal,Surrrey,BC,Canada,49.01,-122.752,1984,18,7,10,72
