Course Name,City,Country,Year Played,Holes,Personal Rating,Best Score,World Rank,US Rank
Cypress Point Golf Club,Monterey,United States of America,2015,18,11,72,,3
Royal County Down GC,Newcastle,United Kingdom,1988,18,11,74,1,
Muirfield,Gullane,United Kingdom,1972,18,10,86,7,
Olympic Lake Course,San Francisco,United States of America,1986,18,10,79,,35
The Old Course,St Andrews,United Kingdom,1972,18,10,76,9,
Pacific Dunes GC,Bandon,United States of America,2004,18,10,76,,21
Bandon Dunes GC,Bandon,United States of America,2010,18,10,75,,40
Pine Valley GC,Clementon,United States of America,1997,18,10,75,,1
Pebble Beach Links,Pebble Beach,United States of America,1995,18,10,75,,12
Royal Portrush GC -- Dunluce,Portrush,United Kingdom,1988,18,10,75,8,
Ballybunion Old,Ballybunion,Ireland,1988,18,10,72,18,
Royal Dornoch GC,Dornoch,United Kingdom,1972,18,10,77,3,
Royal Birkdale,Southport,United Kingdom,1972,18,10,81,17,
Carne GC,Belmullet,Ireland,2016,27,10,81,,
Sunningdale Old,Sunningdale ,United Kingdom,1972,18,10,80,15,
The National Golf Club,Woodbridge,Canada,1990,18,10,79,22,
Turnberry -- Ailsa,Turnberry,United Kingdom,1972,18,10,82,13,
Capilano Golf and Country Club,West Vancouver,Canada,1965,18,10,65,76,
Torrey Pines -- South,San Diego,United States of America,1986,18,9.7,73,,
Pinehurst #2,Pinehurst,United States of America,1988,18,9.5,85,,29
Ballyliffin Glasheddy,Ballyliffin,Ireland,2015,18,9.5,80,,
Macrihanish GC,Macrihanish,United Kingdom,1992,18,9.5,70,64,
New South Wales GC,Le Perouse,Australia,1977,18,9.5,77,14,
Rosapenna Sandy Hills,,Ireland,2013,18,9.5,86,,
Mid Ocean GC,,Bermuda,1989,18,9.5,74,33,
Trevose GC,Constantine Bay,United Kingdom,2009,18,9.5,77,,
Chambers Bay GC,Tacoma,United States of America,2009,18,9.5,76,,
Mauna Kea Beach GC,Hawaii,United States of America,1976,18,9.5,80,,
Waterville GC,Waterville ,Ireland,1988,18,9.5,80,60,
The Dragon GC at Nakoma,Clio,United States of America,2005,18,9.5,78,,
Harbour Town Links,Hilton Head,United States of America,2008,18,9.5,78,,
Lahinch GC -- Championship,Lahinch,Ireland,1988,18,9.5,78,41,
Enniscrone GC,Enniscrone,Ireland,2016,27,9.5,81,,
Spyglass Hill GC,Carmel,United States of America,1978,18,9.5,87,,67
Highland Links,Ingonish,Canada,1987,18,9.5,75,94,
Portstewart GC -- Strand,Portstewart,United Kingdom,2013,18,9.5,78,,
Gleneagles Queens,Auchterarder,United Kingdom,1972,18,9.5,78,,
Gleneagles Kings,Auchterarder,United Kingdom,1972,18,9.5,84,100,
Wentworth West,Virginia Water,United Kingdom,1972,18,9.5,86,,
Prestwick GC,Prestwick,United Kingdom,1972,18,9.5,94,89,
Riviera CC,Los Angeles,United States of America,1983,18,9.5,86,18,
North Berwick GC,North Berwick,United Kingdom,1972,18,9.5,84,23,
Kauai Lagoons GC Kiele,Kauai,United States of America,1989,18,9.5,74,,
Prince Golf Club,Kauai,United States of America,2001,18,9.5,74,,
Royal Troon GC,Troon,United Kingdom,1972,18,9.5,76,53,
St George's G&CC,Toronto,Canada,1988,18,9.5,80,32,
Circling Raven GC,Worley,United States of America,2005,18,9.5,71,,
County Sligo GC,Rosses Point,Ireland,2013,18,9,77,91,
Tobiano GC,Kamloops,Canada,2008,18,9,74,90,
St. Enodoc GC,Rock,England,2009,18,9,78,82,
